degree,rho_up_grade,rho_down_mu_0.35,rho_slide_mu_0.35,rho_down_mu_0.5,rho_slide_mu_0.5,rho_down_mu_0.7,rho_slide_mu_0.7,rho_roll_cgH_0.4,rho_roll_cgH_0.45,rho_roll_cgH_0.5,rho_roll_cgH_0.55
32.25,1.0928426710133436,1.8027228845188092,1.8027228845188092,1.2619060202448003,1.2619060202448003,0.9013614435470639,0.9013614435470639,0.5906281919798372,0.664456715899568,0.7382852398020213,0.8121137636871971
32.5,1.1034380577985232,1.8202007399636926,1.8202007399636926,1.2741405190667054,1.2741405190667054,0.9101003712819898,0.9101003712819898,0.5963544820545603,0.6708987922328777,0.7454431023937501,0.8199874125371776
32.75,1.1140925140696498,1.8377760347902163,1.8377760347902163,1.2864432254558171,1.2864432254558171,0.9188880187078055,0.9188880187078055,0.6021126963070371,0.6773767832661561,0.7526408702076617,0.8279049571315538
33.0,1.1248069442908866,1.8554502609773154,1.8554502609773154,1.298815183797391,1.298815183797391,0.9277251318139794,0.9277251318139794,0.6079033235560585,0.6838912389205428,0.7598791542672444,0.8358670695961632
33.25,1.1355822677309948,1.8732249349251795,1.8732249349251795,1.3112574555715606,1.3112574555715606,0.9366124688006077,0.9366124688006077,0.6137268606215794,0.6904427181184873,0.767158575597442,0.8438744330584437
33.5,1.1464194188015204,1.891101598013114,1.891101598013114,1.3237711197438409,1.3237711197438409,0.945550800357344,0.945550800357344,0.6195838125074916,0.6970317889893676,0.774479765453119,0.851927741898746
33.75,1.1573193474038583,1.9090818171720487,1.9090818171720487,1.3363572731658833,1.3363572731658833,0.9545409099496543,0.9545409099496543,0.6254746925891951,0.7036590290805085,0.7818433655535251,0.8600277020082447
34.0,1.1682830192854854,1.92716718547217,1.92716718547217,1.3490170309868192,1.3490170309868192,0.9635835941126331,0.9635835941126331,0.6314000228061247,0.7103250255737744,0.7892500283229539,0.8681750310536631
34.25,1.179311416405646,1.9453593227261443,1.9453593227261443,1.3617515270755167,1.3617515270755167,0.9726796627526146,0.9726796627526146,0.6373603338593857,0.7170303755079084,0.7967004171377865,0.8763704587490202
34.5,1.1904055373107933,1.9636598761084376,1.9636598761084376,1.3745619144541024,1.3745619144541024,0.9818299394568332,0.9818299394568332,0.6433561654146609,0.7237756860068036,0.8041952065801264,0.8846147271346294
34.75,1.2015663975200943,1.982070520791232,1.982070520791232,1.3874493657431046,1.3874493657431046,0.9910352618113807,0.9910352618113807,0.6493880663105572,0.730561574513893,0.8117350826982325,0.8929085908635755
35.0,1.2127950299213208,2.0005929605974764,2.0005929605974764,1.4004150736185894,1.4004150736185894,1.0002964817277333,1.0002964817277333,0.6554565947725663,0.7373886690328545,0.8193207432739686,0.9012528174959089
35.25,1.2240924851774635,2.0192289286716285,2.0192289286716285,1.4134602512816774,1.4134602512816774,1.0096144657781208,1.0096144657781208,0.6615623186328193,0.7442576083748352,0.8269528980974987,0.9096481878008097
35.5,1.235459832144411,2.037980188168643,2.037980188168643,1.4265861329408385,1.4265861329408385,1.0189900955400217,1.0189900955400217,0.6677058155558212,0.7511690424124037,0.834632269249454,0.918095496066972
35.75,1.2468981583000551,2.0568485329618142,2.0568485329618142,1.439793974307379,1.439793974307379,1.0284242679500848,1.0284242679500848,0.6738876732703626,0.7581236323404489,0.8423595913908223,0.9265955504214826
